"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"NOCA","7/8/2020","COLO","Gavia immer","Common Loon","Gaviidae",670,"Lane_Fanter","Hozomeen Lake",,4235,"A","04/27/2021 15:30"
2020,"NOCA","6/25/2020","COME","Mergus merganser","Common Merganser","Anatidae",103,"Lane_Fanter","Ross Lake",,4232,"A","04/27/2021 15:30"
2020,"NOCA","6/25/2020","CONI","Chordeiles minor","Common Nighthawk","Caprimulgidae",256,"Lane_Fanter","Green Point",,4327,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","CORA","Corvus corax","Common Raven","Corvidae",1471,"Lane_Fanter","Newhalem",,4353,"A","04/27/2021 15:30"
2020,"NOCA","6/5/2020","COYE","Geothlypis trichas","Common Yellowthroat","Fringillidae",2084,"Lane_Fanter","Cascade River Rd.",,4390,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","DEJU","Junco hyemalis","Dark-eyed Junco","Fringillidae",1910,"Holmgren_Mandy","Stehekin",,4399,"A","04/27/2021 15:30"
2020,"NOCA","6/19/2020","DOWO","Picoides pubescens","Downy Woodpecker","Picidae",1012,"Holmgren_Mandy","Stehekin",,4334,"A","04/27/2021 15:30"
2020,"NOCA","6/14/2020","DUFL","Empidonax oberholseri","Dusky Flycatcher","Tyrannidae",1368,"Holmgren_Mandy","Stehekin",,4344,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","EUST","Sturnus vulgaris","European Starling","Sturnidae",1714,"Holmgren_Mandy","Stehekin",,4379,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","EVGR","Coccothraustes vespertinus","Evening Grosbeak","Fringillidae",1780,"Holmgren_Mandy","Stehekin",,4411,"A","04/27/2021 15:30"
2020,"NOCA","7/7/2020","FOSP","Passerella iliaca","Fox Sparrow","Fringillidae",1906,"Lane_Fanter","Desolation Peak",,4396,"A","04/27/2021 15:30"
2020,"NOCA","6/20/2020","GBHE","Ardea herodias","Great Blue Heron","Ardeidae",776,"Holmgren_Mandy","Stehekin",,4318,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","GCKI","Regulus satrapa","Golden-crowned Kinglet","Regulidae",1587,"Holmgren_Mandy","Stehekin",,4369,"A","04/27/2021 15:30"
2020,"NOCA","7/22/2020","GCRF","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Fringillidae",1826,"Hamm_Kelsey","Sourdough Mtn.",,4405,"A","04/27/2021 15:30"
2020,"NOCA","7/14/2020","GHOW","Bubo virginianus","Great Horned Owl","Strigidae",892,"Lane_Fanter","Rainbow Meadows",,4324,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","GRCA","Dumetella carolinensis","Gray Catbird","Sturnidae",1693,"Holmgren_Mandy","Stehekin",,4378,"A","04/27/2021 15:30"
